DIM\Power, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 
189, 0.333307, 0.40784, 0.463419, 0.507077, 0.542582, 0.572189, 0.597356, 0.619076, 0.638052, 0.654802, 
190, 0.333401, 0.407937, 0.463513, 0.507166, 0.542666, 0.572269, 0.597433, 0.619149, 0.638123, 0.65487, 
191, 0.333327, 0.407881, 0.46348, 0.507156, 0.542675, 0.572293, 0.597467, 0.619191, 0.638171, 0.654923, 
192, 0.333192, 0.407728, 0.463317, 0.506988, 0.542505, 0.572124, 0.597301, 0.61903, 0.638014, 0.654771, 
193, 0.333371, 0.407902, 0.463494, 0.507171, 0.542693, 0.572316, 0.597496, 0.619227, 0.638213, 0.654972, 
194, 0.333396, 0.407919, 0.463489, 0.507138, 0.542633, 0.572231, 0.597391, 0.619104, 0.638076, 0.654824, 
195, 0.333371, 0.407924, 0.46351, 0.507169, 0.54267, 0.572271, 0.597431, 0.619145, 0.638116, 0.654861, 
196, 0.333259, 0.407795, 0.463377, 0.507039, 0.542548, 0.57216, 0.597333, 0.619059, 0.638044, 0.654803, 
197, 0.333289, 0.407833, 0.463432, 0.507116, 0.542648, 0.572282, 0.597475, 0.619219, 0.638218, 0.654989, 
198, 0.333334, 0.407907, 0.463517, 0.507198, 0.542719, 0.572339, 0.597517, 0.619245, 0.638229, 0.654987, 
199, 0.333455, 0.407999, 0.463585, 0.507249, 0.542758, 0.572372, 0.597547, 0.619276, 0.638264, 0.655027, 
200, 0.333349, 0.407888, 0.463484, 0.507165, 0.542691, 0.572321, 0.597509, 0.619249, 0.638245, 0.655015, 
